Wilayah;Kecamatan;Nama Faskes (Rumah Sakit dan Puskesmas);Jenis Penyakit;Januari;Februari;Maret;April;Mei;Juni;Juli;Agustus;September;Oktober;November
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit Infeksi dan parasit;235;224;722;205;238;157;224;226;218;221;234
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Neoplasma;26;32;89;19;29;29;27;33;26;28;36
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;10;5;22;7;9;4;8;5;5;8;3
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Endokrin, nutrisi dan gangguan metabolik;281;189;642;85;141;119;109;142;162;172;204
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Gangguan jiwa dan perilaku;22;23;82;10;11;13;19;13;12;11;18
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit yang mengenai sistem syaraf;19;24;75;16;25;17;23;15;13;20;34
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit mata dan adnexa;39;26;96;27;29;32;37;32;35;43;33
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit telinga dan mastoid;90;79;259;65;98;83;90;98;82;81;105
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem sirkulasi;307;224;796;108;182;205;159;167;152;167;226
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem pernafasan;708;689;2.175;490;766;650;699;945;830;768;619
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem pencernaan;460;425;1.354;286;532;367;425;429;414;396;418
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada kulit dan jaringan subcutaneous;141;139;383;104;178;127;153;151;140;163;209
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem musculoskletal;200;195;567;111;249;158;168;210;204;209;207
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyakit pada sistem saluran kemih dan genital;52;54;165;33;39;42;77;61;44;69;56
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Kehamilan dan kelahiran;12;5;33;11;10;11;13;9;13;9;24
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Keadaan yang berasal dari periode perinatal;3;137;7;3;5;0;1;2;2;1;1
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Malformasi kongenital, deformasi dan kelainan chromosom;7;44;14;3;4;2;1;1;2;1;2
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;147;369;438;92;191;131;134;135;126;184;177
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Keracunan, cedera dan beberapa penyebab yang dari luar;59;90;152;46;65;62;63;75;72;50;69
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Penyebab morbiditas dan kematian eksternal;1;7;13;3;3;1;5;7;2;4;8
Surabaya Barat;Asem Rowo;Puskesmas Asemrowo;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;352;2;1.117;236;449;368;439;426;311;382;385
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit Infeksi dan parasit;86;37;263;89;80;90;81;91;86;75;76
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Neoplasma;3;2;14;3;5;7;9;4;5;6;2
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;0;15;3;1;1;1;0;5;3;0;3
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Endokrin, nutrisi dan gangguan metabolik;41;67;123;19;52;48;50;46;28;47;46
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Gangguan jiwa dan perilaku;6;48;11;1;2;6;5;3;5;3;5
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit yang mengenai sistem syaraf;16;31;60;14;13;14;16;25;21;20;24
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit mata dan adnexa;58;289;195;36;77;55;70;66;43;67;78
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit telinga dan mastoid;26;294;132;31;45;32;39;30;47;47;54
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem sirkulasi;27;38;97;25;33;22;31;32;25;32;36
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pernafasan;291;112;901;229;282;265;309;501;490;417;260
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem pencernaan;302;17;928;212;354;266;321;351;314;324;290
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada kulit dan jaringan subcutaneous;36;0;111;26;39;28;39;43;38;48;52
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem musculoskletal;122;95;347;88;131;103;130;129;124;157;103
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyakit pada sistem saluran kemih dan genital;25;61;60;6;21;8;11;15;15;15;23
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Kehamilan dan kelahiran;0;296;4;0;5;2;0;1;1;3;1
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Keadaan yang berasal dari periode perinatal;1;101;1;0;2;1;2;1;2;0;1
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Malformasi kongenital, deformasi dan kelainan chromosom;1;12;2;0;2;0;1;1;1;0;0
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Gejala, tanda, kelainan klinik dan kelainan lab yg tidak ditemukan pada klasifikasi lain;77;3;267;62;115;78;68;85;70;75;66
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Keracunan, cedera dan beberapa penyebab yang dari luar;67;74;191;38;49;64;94;75;53;74;58
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Penyebab morbiditas dan kematian eksternal;3;21;4;0;1;1;1;3;1;2;2
Surabaya Selatan;Wiyung;Puskesmas Balas Klumprik;Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan;395;46;965;203;373;272;358;270;221;293;241
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit Infeksi dan parasit;191;2;425;124;142;159;148;142;150;124;139
Surabaya Barat;Tandes;Puskesmas Balongsari;Neoplasma;19;44;49;12;19;16;13;15;9;23;21
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit darah dan organ pembentuk darah termasuk ganguan sistem imun;3;123;10;1;2;5;1;9;4;5;9
Surabaya Barat;Tandes;Puskesmas Balongsari;Endokrin, nutrisi dan gangguan metabolik;156;355;305;47;52;55;92;90;53;78;62
Surabaya Barat;Tandes;Puskesmas Balongsari;Gangguan jiwa dan perilaku;22;434;65;8;12;10;16;15;7;9;11
Surabaya Barat;Tandes;Puskesmas Balongsari;Penyakit yang mengenai sistem syaraf;51;83;154;14;43;45;33;37;55;80;86
